branch,tip,merge_base,tip_date,author,subject,branch_only_commits,diff_stat,changed_path_count,content_flags,disposition,deletion_permitted
"refactor-reactive-ui-6904314077815251248","e0c5538ddf17ed1107de494bba8973c896628e66","9aa17c569d1fd4cbd4c3191bc0fcd3d248db172f","2026-01-20T05:37:23Z","google-labs-jules[bot]","Refactor UI to use Reactive Components and Event Emitters","1","11 files changed, 464 insertions(+), 58 deletions(-)","11","docs","retained-pending-review","false"
"refactor/phase-4-reactive-backend-6812772952284714320","453d4d9785eb4404150bb2b194e66b00eba37335","9aa17c569d1fd4cbd4c3191bc0fcd3d248db172f","2026-01-22T05:38:46Z","google-labs-jules[bot]","Implement Phase 4 Backend: Reactive events and Dynamic Actor progression","1","6 files changed, 144 insertions(+), 14 deletions(-)","6","docs","retained-pending-review","false"
"refactor/reactive-ui-audio-7150135249304217381","93ec7d0a1a8fa319463e6b876bdb43676aba2464","9aa17c569d1fd4cbd4c3191bc0fcd3d248db172f","2026-01-19T05:39:36Z","google-labs-jules[bot]","Refactor UI to Reactive Event-Driven Architecture and Add AudioManager","1","9 files changed, 144 insertions(+), 11 deletions(-)","9","docs;audio","retained-pending-review","false"
"refactor/reactive-ui-party-7296181845657522236","8079f46929704d9f17393a29787a1d1f7deb4779","9aa17c569d1fd4cbd4c3191bc0fcd3d248db172f","2026-01-21T05:15:15Z","google-labs-jules[bot]","Refactor Party UI to use Reactive Components and Event Bus","1","9 files changed, 319 insertions(+), 12 deletions(-)","9","docs;assets","retained-pending-review","false"
"rewrite-proposal","3742be3765af7984ebd9e6a3da407e784b9dc2c8","575c45ade7e3614fa4a0acc532688d2268b1e549","2025-12-05T08:01:49Z","google-labs-jules[bot]","Add architecture assessment and radical rewrite proposal.","1","1 file changed, 103 insertions(+)","1","docs","retained-pending-review","false"
"shatter-transition-11559666246248154339","f4cf11c3f611a27ed4a02291839b2ebdd83b9f59","a8b08806939fe29d5818ba6286ee3fcad4a29f9e","2025-12-25T18:52:59Z","google-labs-jules[bot]","feat(fx): replace battle intro with voronoi shatter effect","2","1 file changed, 235 insertions(+), 80 deletions(-)","1","transitions","retained-pending-review","false"
"stillnight-threejs-plugin-12732119604071080682","20c4883e4b867b6b7ce234e3a88f6b40c12890cf","f528535a263b6d16ef1fc2296c5f440ab66240a9","2026-01-23T23:45:41Z","google-labs-jules[bot]","Implement Stillnight_ThreeJS plugin for RPG Maker MZ","1","281 files changed, 78802 insertions(+), 239 deletions(-)","281","docs;tests;assets;audio;fog-of-war;transitions","retained-pending-review","false"
"vertex-warp-walls","58ab8bcb3f686ad1cdc6134eb2b55ad3a849cc10","0a208398e16f1b1c19e1940c646fa5f8958d4ebc","2025-12-02T20:15:52Z","google-labs-jules[bot]","Implement random vertex warp for invisible walls","1","2 files changed, 18 insertions(+), 2 deletions(-)","2","","retained-pending-review","false"
"walkthrough-design-15639535685884753731","8517cf7044a613ecd0a9c14793a52274290b771f","c32427d0b017e37064584ffc1875d9c81ec2d947","2025-12-18T09:59:21Z","google-labs-jules[bot]","Add 'The Hollow Descent' campaign walkthrough","1","1 file changed, 229 insertions(+)","1","docs","retained-pending-review","false"
"window-refactor-phase-2-dynamic-height","78fe67b60831f779c592c1e89f268b5db0a59120","ba363b2913a26357b10838397712bf83057bfaac","2025-12-02T05:57:29Z","google-labs-jules[bot]","Implement dynamic 1fr row height for Window_Party layout. - Updated Window_Party to use `rows: 'repeat(2, 1fr)'` instead of fixed pixels. - Verified that slots fill the available container height (defined in index.html). - Addressed user feedback about overflow issues with fixed pixel height. - Retained fixes for HUD duplication.","1","10 files changed, 148 insertions(+), 49 deletions(-)","10","docs;tests;assets","retained-pending-review","false"
"window-refactor-phase-2-fix-height","78a34417ab90377e260a1021fa0dbf6454efe809","ba363b2913a26357b10838397712bf83057bfaac","2025-12-02T05:32:19Z","google-labs-jules[bot]","Fix Grid Layout heights and HUD duplication issues. - Updated Window_Party to use fixed row height (110px) in GridLayout to prevent jitter. - Updated PartySlotComponent to fill grid cell height. - Removed redundant defineLayout calls in Window_HUD and Window_Party. - Added explicit this.clear() in defineLayout methods to prevent content duplication on re-init.","1","10 files changed, 147 insertions(+), 49 deletions(-)","10","docs;tests;assets","retained-pending-review","false"
"xp-calc-fix-1238135631318676896","2c4e0aa1cdd10b0b50093dffcdb6f93faf9de2c2","418ba4f3848a8487c1eb698a0c75a14ed8b77bbb","2025-12-11T02:44:08Z","google-labs-jules[bot]","Refactor XP calculation to use data-driven values from creatures.js","1","5 files changed, 103 insertions(+), 9 deletions(-)","5","tests","retained-pending-review","false"
